The nouns in the text are:

1.	壬申日
2.	第十局
3.	課體
4.	遙剋
5.	탄사
6.	불비
7.	원태
8.	課意
9.	낮 
10.	占은
11.	집은
12.	적적
13.	몸
14.	양귀
15.	낮 占의
16.	천장
17.	土木
18.	土
19.	干
20.	木
21.	巳
22.	귀인
23.	재효
24.	둔간
25.	己
26.	申
27.	壬水
28.	장생
29.	亥와
30.	해
31.	亥가 
32.	支
33.	천공
34.	공망
35.	집
36.	壬
37.	穀
38.	장생
39.	격
40.	부취
41.	존귀한 것
42.	비천한
43.	결과
44.	일
45.	시작
46.	해서 
47.	진답
48.	귀인
49.	貴人) 
50.	구람
51.	일
52.	干支
53.	설기
54.	실지
55.	요구
56.	득
57.	날씨
58.	비
59.	가택
60.	식구
61.	흥왕
62.	도둑
63.	혼인
64.	화합
65.	깨어짐
66.	태산
67.	주는
68.	첩
69.	임신
70.	공명
71.	기회
72.	구재
73.	득
74.	알현
75.	밖
76.	합
77.	이별
78.	질병
79.	병
80.	치료
81.	분실
82.	도망자
83.	출행
84.	행인
85.	庚申日
86.	쟁송
87.	걱정
88.	의심
89.	출병
90.	허
91.	실
92.	畢法賦 
93.	云
94.	權攝不正祿臨支
95.	富貴干支逢祿馬
96.	人宅受脫俱招盜
97.	空上乘空事莫追
98.	課經 
99.	간지상
100.	寅亥
101.	육합
102.	亥申
103.	육해
104.	외호리사아격
105.	秘要 
106.	호시과
107.	금
108.	화살촉
109.	탄사과
110.	土
111.	총알
112.	전
113.	공망
114.	화살촉
115.	총알
116.	법 
117.	권섭부정록임지
118.	조합
119.	록
120.	일간
121.	록신
122.	占
123.	타인
124.	파견占
125.	직책
126.	관직
127.	봉급
128.	권한
129.	일록
130.	지상
131.	묘
132.	극
133.	탈
134.	집
135.	록
136.	손실
137.	법 
138.	부귀간지봉록마
139.	록
140.	마
141.	干上
142.	支
143.	역마
144.	支上
145.	록신
146.	과
147.	진부귀괘
148.	군자
149.	승진
150.	봉록
151.	일반인
152.	병송점
153.	집
154.	법 
155.	인택수탈구초도
156.	조합
157.	탈설
158.	현무
159.	귀극
160.	일
161.	干上과 
162.	支上
163.	탈기
164.	干上
165.	支
166.	탈
167.	支上
168.	干
169.	탈
170.	占
171.	재물
172.	도난
173.	병점
174.	집한
175.	값
176.	비용
177.	심기
178.	태
179.	허
180.	피곤
181.	원기
182.	보약
183.	치료
184.	법 
185.	공상승공사막추
186.	조합
187.	공망
188.	천공
189.	탈
190.	日干上
191.	순공
192.	천공
193.	占
194.	빈말
195.	실상.
